id,meter_id,start_date,end_date,value,cost
1,1,2022/01/01,2022/01/31,56445000,22578
2,1,2022/02/01,2022/02/28,39204000,15681.6
3,1,2022/03/01,2022/03/31,44474000,17789.6
4,1,2022/04/01,2022/04/30,40528000,16211.2
5,1,2022/05/01,2022/05/31,45984000,18393.6
6,1,2022/06/01,2022/06/30,54174000,21669.6
7,1,2022/07/01,2022/07/31,46191000,18476.4
8,1,2022/08/01,2022/08/31,41092000,16436.8
9,1,2022/09/01,2022/09/30,38486000,15394.4
10,1,2022/10/01,2022/10/31,27509000,11003.6
11,1,2022/11/01,2022/11/30,28695000,11478
12,1,2022/12/01,2022/12/31,32814000,13125.6
13,1,2023/01/01,2023/01/31,35696000,14278.4
14,1,2023/02/01,2023/02/28,33340000,13336
15,1,2023/03/01,2023/03/31,28064000,11225.6
16,1,2023/04/01,2023/04/30,26120000,10448
17,1,2023/05/01,2023/05/31,35569000,14227.6
18,1,2023/06/01,2023/06/30,37566000,15026.4
19,1,2023/07/01,2023/07/31,44722000,17888.8
20,1,2023/08/01,2023/08/31,35932000,14372.8
21,1,2023/09/01,2023/09/30,30172000,12068.8
22,1,2023/10/01,2023/10/31,26682000,10672.8
23,1,2023/11/01,2023/11/30,24200000,9680
24,1,2023/12/01,2023/12/31,26486000,10594.4
25,2,2022/01/01,2022/01/31,5778.20,169185.6
26,2,2022/02/01,2022/02/28,2741.19,80262
27,2,2022/03/01,2022/03/31,3888.03,113841.6
28,2,2022/04/01,2022/04/30,4965.57,145392
29,2,2022/05/01,2022/05/31,3858.32,112971.6
30,2,2022/06/01,2022/06/30,5476.23,160344
31,2,2022/07/01,2022/07/31,6356.07,186105.6
32,2,2022/08/01,2022/08/31,3953.89,115770
33,2,2022/09/01,2022/09/30,3794.88,111114
34,2,2022/10/01,2022/10/31,3878.48,113562
35,2,2022/11/01,2022/11/30,3124.39,91482
36,2,2022/12/01,2022/12/31,1363.52,39924
37,2,2023/01/01,2023/01/31,1497.05,43833.6
38,2,2023/02/01,2023/02/28,0.00,0
39,2,2023/03/01,2023/03/31,4060.16,118881.6
40,2,2023/04/01,2023/04/30,2211.68,64758
41,2,2023/05/01,2023/05/31,0.00,0
42,2,2023/06/01,2023/06/30,10173.36,297876
43,2,2023/07/01,2023/07/31,4815.37,140994
44,2,2023/08/01,2023/08/31,5211.19,152583.6
45,2,2023/09/01,2023/09/30,4569.80,133803.6
46,2,2023/10/01,2023/10/31,3504.84,102621.6
47,2,2023/11/01,2023/11/30,3977.58,116463.6
48,2,2023/12/01,2023/12/31,3002.17,87903.6
49,3,2022/01/01,2022/01/31,20000000,1300
50,3,2022/02/01,2022/02/28,20000000,1300
51,3,2022/03/01,2022/03/31,20000000,1300
52,3,2022/04/01,2022/04/30,20000000,1300
53,3,2022/05/01,2022/05/31,20000000,1300
54,3,2022/06/01,2022/06/30,20000000,1300
55,3,2022/07/01,2022/07/31,20000000,1300
56,3,2022/08/01,2022/08/31,20000000,1300
57,3,2022/09/01,2022/09/30,20000000,1300
58,3,2022/10/01,2022/10/31,20000000,1300
59,3,2022/11/01,2022/11/30,20000000,1300
60,3,2022/12/01,2022/12/31,20000000,1300
61,3,2023/01/01,2023/01/31,20000000,1300
62,3,2023/02/01,2023/02/28,20000000,1300
63,3,2023/03/01,2023/03/31,20000000,1300
64,3,2023/04/01,2023/04/30,20000000,1300
65,3,2023/05/01,2023/05/31,20000000,1300
66,3,2023/06/01,2023/06/30,20000000,1300
67,3,2023/07/01,2023/07/31,20000000,1300
68,3,2023/08/01,2023/08/31,20000000,1300
69,3,2023/09/01,2023/09/30,20000000,1300
70,3,2023/10/01,2023/10/31,20000000,1300
71,3,2023/11/01,2023/11/30,20000000,1300
72,3,2023/12/01,2023/12/31,20000000,1300
73,4,2022/01/01,2022/01/31,61918000,21671.3
74,4,2022/02/01,2022/02/28,8010000,2803.5
75,4,2022/03/01,2022/03/31,48141000,16849.35
76,4,2022/04/01,2022/04/30,63701000,22295.35
77,4,2022/05/01,2022/05/31,79368000,27778.8
78,4,2022/06/01,2022/06/30,98995000,34648.25
79,4,2022/07/01,2022/07/31,0,0
80,4,2022/08/01,2022/08/31,84201000,29470.35
81,4,2022/09/01,2022/09/30,102394000,35837.9
82,4,2022/10/01,2022/10/31,86724000,30353.4
83,4,2022/11/01,2022/11/30,77192000,27017.2
84,4,2022/12/01,2022/12/31,124349000,43522.15
85,4,2023/01/01,2023/01/31,55142000,19299.7
86,4,2023/02/01,2023/02/28,49700000,17395
87,4,2023/03/01,2023/03/31,54054000,18918.9
88,4,2023/04/01,2023/04/30,52166000,18258.1
89,4,2023/05/01,2023/05/31,59449000,20807.15
90,4,2023/06/01,2023/06/30,94107000,32937.45
91,4,2023/07/01,2023/07/31,98501000,34475.35
92,4,2023/08/01,2023/08/31,89066000,31173.1
93,4,2023/09/01,2023/09/30,68885000,24109.75
94,4,2023/10/01,2023/10/31,73588000,25755.8
95,4,2023/11/01,2023/11/30,58745000,20560.75
96,4,2023/12/01,2023/12/31,61684000,21589.4
